,AIRMASS,BERV,BERV_DRS,BIS,BJD,BJD_DRS,CONTRAST_DRS,CRX,DPR_TYPE,DRIFT,DRIFT_LAMP,EXPTIME,E_MLCRX,FWHM_DRS,Halpha,MASK,MLCRX,NZP_drs,NZP_mlc,NaD1,NaD2,OBHAB,PROGID,PROGPI,RVGUESS,RV_drs,RV_drs_nzp,RV_mlc,RV_mlc_j,RV_mlc_nzp,SA,SNR_DRS,THAR_FP,TIMEID,TMMEAN,dLW,dNZP_drs,dNZP_mlc,e_CRX,e_DRIFT,e_Halpha,e_NaD1,e_NaD2,e_RV_drs,e_RV_drs_nzp,e_RV_mlc,e_RV_mlc_j,e_RV_mlc_nzp,e_dLW,f_RV,target
0,-9999999.0,-7.01325269347,-7.0179013233,-0.0011377036664100002,2452949.76427,2452949.7634799997,40.8427991276,-36.767258578098186,"STAR,WAVE,G2V",0.37799999999999995,-9999999.0,119.9962,7.77495130533,7.111231516339999,0.4466862214430156,G2,-36.788066504899994,0.466,0.409,0.33966310327121824,0.4608987216268231,HARPS_ech_obs_all,072.C-0513(B),UNKNOWN,12.2,12563.689093500001,12563.223,-3.0086588653799997,-3.0086588653799997,6.569,0.0,165.8,HARPS_ech_obs_thosimult,2003-11-06T06:16:47.465,0.53,17.0324395747,-9999999.0,0.8740000000000001,7.779461576899442,-9999999.0,0.00044851483226943475,0.0006179671211180015,0.0008024115001591652,0.497112340958,1.119,0.589388885094,0.589388885094,1.054,1.18780020924,0.0,GJ136
1,-9999999.0,-7.01533537757,-7.020028334889999,0.00013775173297,2452949.76598,2452949.76524,40.8480991616,-32.3089673318565,"STAR,WAVE,G2V",0.574,-9999999.0,119.9963,7.4106094228799995,7.11392219005,0.4459270182443667,G2,-32.3330696815,0.462,0.408,0.34052952037854306,0.4626742933175102,HARPS_ech_obs_all,072.C-0513(B),UNKNOWN,12.2,12564.290501000001,12563.829,-2.79720920943,-2.79720920943,6.782,0.0,159.0,HARPS_ech_obs_thosimult,2003-11-06T06:19:19.517,0.5,14.866978113800002,-9999999.0,0.8740000000000001,7.414724126313658,-9999999.0,0.0004701043490253508,0.0006454612049343847,0.0008387295909724901,0.512136698647,1.126,0.605763080621,0.605763080621,1.063,1.40906236815,0.0,GJ136
2,-9999999.0,-7.017466109339999,-7.02214636733,0.0010791456233599998,2452949.76775,2452949.76698,40.840674992,-24.46223039908678,"STAR,WAVE,G2V",0.457,-9999999.0,119.9965,8.36362813349,7.109039910289999,0.4468291806157837,G2,-24.4659164969,0.45899999999999996,0.408,0.3414641366302816,0.4607946398855084,HARPS_ech_obs_all,072.C-0513(B),UNKNOWN,12.2,12565.3643175,12564.905,-2.1313961138799997,-2.1313961138799997,7.4479999999999995,0.0,152.4,HARPS_ech_obs_thosimult,2003-11-06T06:21:50.749,0.51,16.9052338711,-9999999.0,0.8740000000000001,8.366438772763662,-9999999.0,0.00048722327366186076,0.0006747166649999345,0.0008729964173183418,0.540311997689,1.139,0.6401399563,0.6401399563,1.083,1.31486866078,0.0,GJ136
3,-9999999.0,-5.9772134572099995,-5.982061999730001,-0.009598487956260001,2453039.62508,2453039.62433,40.9285102658,-29.84367040392521,"STAR,WAVE,G2V",0.259,-9999999.0,149.9951,6.941435615850001,7.087638889530001,0.44259015311511213,G2,-29.8406506032,1.421,0.826,0.3365537667026721,0.4570981802578267,HARPS_ech_obs_all,072.C-0513(D),UNKNOWN,12.2,12575.9931211,12574.421,10.3466280935,10.3466280935,19.508,0.151,143.1,HARPS_ech_obs_thosimult,2004-02-04T02:59:41.851,0.5,1.6730545600100002,-9999999.0,0.8740000000000001,6.940673816495035,-9999999.0,0.000516675075828174,0.0007166671590573392,0.0009304294973751203,0.5630937233250001,1.15,0.680295885468,0.680295885468,1.107,1.27659089891,0.0,GJ136
4,-9999999.0,-5.978230257969999,-5.9830785502,-0.0092719117711,2453039.62718,2453039.6264400003,40.9263115383,-21.15771316468339,"STAR,WAVE,G2V",0.342,-9999999.0,149.9953,5.35617063958,7.09052493563,0.4429871265582227,G2,-21.1493802365,1.4169999999999998,0.825,0.3363644621220418,0.4566292808060188,HARPS_ech_obs_all,072.C-0513(D),UNKNOWN,12.2,12575.773108700001,12574.205,9.67450526267,9.67450526267,18.837,0.151,150.2,HARPS_ech_obs_thosimult,2004-02-04T03:02:43.263,0.5,-0.228208145668,-9999999.0,0.8740000000000001,5.357357085654523,-9999999.0,0.0004925320459912678,0.0006825932847849566,0.0008854941964405783,0.53776456096,1.138,0.651720712093,0.651720712093,1.09,1.32998588717,0.0,GJ136
5,-9999999.0,-5.97922427628,-5.984073624980001,-0.009230050732540001,2453039.62929,2453039.62854,40.925396885,-26.584170367447282,"STAR,WAVE,G2V",0.258,-9999999.0,149.9954,6.2740784533200005,7.087668828969999,0.443450819378482,G2,-26.5767789187,1.413,0.825,0.33557079736094764,0.4583714770778929,HARPS_ech_obs_all,072.C-0513(D),UNKNOWN,12.2,12573.670564700002,12572.107,8.09348305399,8.09348305399,17.255,0.151,155.3,HARPS_ech_obs_thosimult,2004-02-04T03:05:45.686,0.5,0.395897189556,-9999999.0,0.8740000000000001,6.274129907441957,-9999999.0,0.00047703676921198135,0.0006581886211528827,0.0008570592701071847,0.519066522596,1.129,0.632295306387,0.632295306387,1.078,1.4231149731200001,0.0,GJ136
6,-9999999.0,0.38136791687399996,0.375996989386,1.7715597915299999,2453261.82941,2453261.82867,0.248635069177,-12.43782400367362,"STAR,WAVE,G2.5V",-9999999.0,-9999999.0,119.9767,11.5351860708,14.754581836600002,0.4459930256065411,G2,-12.4069500691,-1.972,-1.5859999999999999,0.3410818007844172,0.4607453057873375,HARPS_ech_obs_all,073.C-0784(B),UNKNOWN,31746.164,33897087.866,33897089.315,9.51693958571,9.51693958571,21.09,0.523,148.9,HARPS_ech_obs_thosimult,2004-09-13T07:49:47.948,0.48,23.6632168343,-9999999.0,0.8740000000000001,11.52358648731823,-9999999.0,0.00042278806686033785,0.0006756832963364407,0.0008725542978813285,-9999999.0,-9999999.0,1.0724489267100001,1.0724489267100001,1.383,2.7141911513599997,0.0,GJ136
7,-9999999.0,0.379095676442,0.37371881549,-0.0938040054862,2453261.8311400004,2453261.8303900003,0.248145085627,2.5295014971985945,"STAR,WAVE,G2.5V",-9999999.0,-9999999.0,119.9775,9.59496272032,15.3824989194,0.4456265736978591,G2,2.50897287942,-1.975,-1.5859999999999999,0.34249066908685194,0.4618637477311514,HARPS_ech_obs_all,073.C-0784(B),UNKNOWN,31746.164,33897659.6757,33897661.128,8.52829354964,8.52829354964,20.102,0.523,156.8,HARPS_ech_obs_thosimult,2004-09-13T07:52:18.259,0.47,20.1435226717,-9999999.0,0.8740000000000001,9.577621636257886,-9999999.0,0.00041282922170915486,0.0006449256677256933,0.0008324718259674577,-9999999.0,-9999999.0,1.0123295349700001,1.0123295349700001,1.337,2.1377832185599996,0.0,GJ136
8,-9999999.0,0.376726417103,0.37135911414800005,-1.0214466497499999,2453261.83294,2453261.83218,0.236655958687,-1.845145482428225,"STAR,WAVE,G2.5V",-9999999.0,-9999999.0,119.9775,10.7316392212,15.351305791800002,0.4461200854045948,G2,-1.8694029674200001,-1.979,-1.587,0.3431491842602244,0.4627064951054981,HARPS_ech_obs_all,073.C-0784(B),UNKNOWN,31746.164,33896887.2427,33896888.699,9.465288417250001,9.465288417250001,21.039,0.523,153.2,HARPS_ech_obs_thosimult,2004-09-13T07:54:48.690,0.51,23.1823517983,-9999999.0,0.8740000000000001,10.71513272397886,-9999999.0,0.00041184459141075926,0.0006599620176801495,0.000851595220247708,-9999999.0,-9999999.0,1.0468095752700002,1.0468095752700002,1.364,2.5690477785,0.0,GJ136
9,-9999999.0,-6.1590968653600005,-6.164759935759999,0.00982668969294,2453306.83105,2453306.8303,40.7313544584,2.7915914745910566,"STAR,WAVE,G2.5V",0.0,-9999999.0,100.0018,4.99282318467,7.1076684411,0.4420389924670983,G2,2.75266889737,-0.855,-1.196,0.34123024147497605,0.4610446999112063,HARPS_ech_obs_all,074.C-0012(A),UNKNOWN,12.5,12559.0466657,12559.303999999998,-8.53074825635,-8.53074825635,2.6519999999999997,0.598,203.2,HARPS_ech_obs_thosimult,2004-10-28T07:52:55.573,0.5,28.7902985074,-9999999.0,0.8740000000000001,5.011276670560517,-9999999.0,0.0003581913883655758,0.0005042085161725656,0.0006542644072687988,0.399507718062,1.08,0.504678586297,0.504678586297,1.0090000000000001,1.07914706613,0.0,GJ136
